iter	Passed	Remaining
432	1591	2084
433	1595	2080
434	1598	2076
435	1601	2072
436	1606	2069
437	1609	2064
438	1612	2061
439	1616	2057
440	1620	2054
441	1625	2051
442	1628	2047
443	1631	2043
444	1634	2038
445	1638	2035
446	1642	2032
447	1647	2029
448	1651	2027
449	1656	2024
450	1660	2021
451	1663	2017
452	1669	2015
453	1672	2012
454	1676	2008
455	1680	2004
456	1684	2001
457	1688	1998
458	1692	1994
459	1695	1990
460	1700	1988
461	1703	1984
462	1707	1980
463	1710	1976
464	1715	1973
465	1719	1970
466	1722	1966
467	1726	1962
468	1729	1958
469	1733	1955
470	1737	1951
471	1740	1946
472	1743	1942
473	1747	1939
474	1750	1935
475	1754	1931
476	1757	1926
477	1760	1922
478	1764	1919
479	1768	1915
480	1770	1910
481	1775	1907
482	1780	1906
483	1785	1903
484	1789	1900
485	1792	1896
486	1797	1893
487	1802	1890
488	1805	1887
489	1810	1884
490	1815	1881
491	1819	1878
492	1823	1875
493	1827	1871
494	1831	1868
495	1836	1866
496	1844	1867
497	1849	1864
498	1852	1859
499	1855	1855
500	1860	1852
501	1863	1849
502	1867	1844
503	1870	1840
504	1874	1837
505	1878	1833
506	1881	1829
507	1884	1825
508	1888	1821
509	1892	1818
510	1896	1814
511	1899	1810
512	1903	1806
513	1908	1804
514	1912	1800
515	1915	1796
516	1918	1792
517	1923	1789
518	1926	1785
519	1930	1781
520	1933	1777
521	1937	1773
522	1941	1770
523	1944	1766
524	1948	1762
525	1951	1758
526	1956	1755
527	1959	1751
528	1962	1747
529	1966	1743
530	1970	1740
531	1973	1736
532	1977	1732
533	1980	1728
534	1983	1724
535	1987	1720
536	1991	1717
537	1995	1713
538	1998	1709
539	2001	1705
540	2005	1701
541	2009	1698
542	2014	1695
543	2019	1692
544	2022	1688
545	2026	1685
546	2031	1682
547	2035	1678
548	2040	1675
549	2044	1672
550	2048	1669
551	2052	1665
552	2056	1662
553	2059	1658
554	2063	1654
555	2067	1651
556	2071	1647
557	2075	1643
558	2078	1639
559	2083	1636
560	2086	1633
561	2090	1629
562	2093	1624
563	2097	1621
564	2101	1618
565	2105	1614
566	2108	1610
567	2111	1606
568	2115	1602
569	2118	1598
570	2122	1594
571	2125	1590
572	2128	1586
573	2132	1582
574	2136	1579
575	2139	1575
576	2142	1570
577	2146	1567
578	2150	1563
579	2153	1559
580	2156	1555
581	2159	1551
582	2164	1547
583	2167	1543
584	2170	1539
585	2174	1535
586	2178	1532
587	2181	1528
588	2184	1524
589	2187	1520
590	2190	1516
591	2195	1512
592	2198	1509
593	2201	1505
594	2205	1501
595	2209	1497
596	2214	1494
597	2217	1490
598	2221	1486
599	2225	1483
600	2230	1480
601	2234	1477
602	2239	1474
603	2244	1471
604	2248	1468
605	2252	1464
606	2255	1460
607	2260	1457
608	2263	1453
609	2267	1449
610	2270	1445
611	2274	1441
612	2277	1437
613	2280	1433
614	2283	1429
615	2286	1425
616	2290	1421
617	2294	1418
618	2297	1414
619	2301	1410
620	2304	1406
621	2308	1402
622	2311	1399
623	2314	1394
624	2317	1390
625	2321	1387
626	2325	1383
627	2328	1379
628	2331	1374
629	2334	1370
630	2337	1366
631	2341	1363
632	2344	1359
633	2347	1355
634	2350	1351
635	2353	1347
636	2357	1343
637	2360	1339
638	2363	1335
639	2366	1331
640	2369	1327
641	2373	1323
642	2376	1319
643	2379	1315
644	2382	1311
645	2386	1307
646	2390	1304
647	2394	1300
648	2397	1296
649	2400	1292
650	2404	1288
651	2408	1285
652	2412	1281
653	2416	1278
654	2424	1277
655	2428	1273
656	2431	1269
657	2435	1265
658	2438	1262
659	2442	1258
660	2445	1254
661	2448	1250
662	2453	1246
663	2456	1242
664	2459	1239
665	2463	1235
666	2467	1231
667	2470	1227
668	2473	1224
669	2477	1220
670	2480	1216
671	2484	1212
672	2487	1208
673	2490	1204
674	2493	1200
675	2497	1197
676	2502	1193
677	2505	1189
678	2508	1185
679	2511	1181
680	2515	1178
681	2518	1174
682	2520	1169
683	2523	1165
684	2527	1162
685	2552	1168
686	2559	1165
687	2564	1162
688	2568	1159
689	2572	1155
690	2577	1152
691	2582	1149
692	2588	1146
693	2594	1144
694	2599	1140
695	2604	1137
696	2609	1134
697	2614	1130
698	2617	1127
699	2621	1123
700	2624	1119
701	2628	1115
702	2632	1112
703	2636	1108
704	2639	1104
705	2643	1100
706	2646	1096
707	2649	1092
708	2653	1088
709	2656	1084
710	2659	1081
711	2662	1077
712	2666	1073
713	2669	1069
714	2672	1065
715	2676	1061
716	2679	1057
